farm_id,crop_type,grid_x,grid_y,soil_type,soil_ph,soil_moisture_pct,humidity_pct,temperature_c,rainfall_category,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,pest_risk_score,water_need_score,yield_prediction_t_ha
1,Rice,0,0,Clay Soil,7.13,54.21,53.88,30.96,Low,131.22,48.14,172.19,0.549,0.629,0.5696714153011233
1,Rice,0,1,Clay Soil,6.88,32.85,60.34,22.16,Low,162.57,26.38,115.26,0.467,0.67,0.4861735698828815
1,Rice,0,2,Sandy Soil,6.28,46.33,58.71,31.79,Medium,103.96,45.64,163.96,0.573,0.627,0.5647688538100692
1,Rice,0,3,Sandy Soil,6.44,54.87,62.08,26.94,Medium,101.17,43.13,82.42,0.588,0.548,0.6523029856408026
1,Rice,0,4,Sandy Soil,6.45,41.39,67.19,32.65,High,90.86,29.2,172.36,0.636,0.578,0.4765846625276664
1,Rice,0,5,Clay Soil,6.55,36.88,75.57,26.61,High,174.47,55.46,255.88,0.626,0.555,0.607586304305082
1,Rice,0,6,Loamy Soil,6.63,56.71,62.93,28.13,Low,130.83,37.22,133.62,0.578,0.595,0.6579212815507391
1,Rice,0,7,Loamy Soil,6.62,49.34,53.04,32.5,Medium,124.2,45.42,292.28,0.563,0.617,0.6467434729152908
1,Rice,0,8,Loamy Soil,6.53,41.41,95.0,27.24,Medium,153.67,10.19,186.82,0.68,0.617,0.4530525614065048
1,Rice,0,9,Sandy Soil,6.8,35.3,68.57,27.63,Low,129.93,53.73,219.73,0.534,0.699,0.6362560043585964
1,Rice,0,10,Loamy Soil,6.22,41.07,78.72,30.53,High,134.32,18.05,217.77,0.671,0.564,0.4536582307187538
1,Rice,0,11,Clay Soil,6.64,40.89,67.61,22.03,Low,117.91,37.58,224.24,0.519,0.629,0.4534270246429743
1,Rice,0,12,Sandy Soil,5.73,44.68,55.57,34.21,High,152.41,76.95,188.46,0.607,0.573,0.6951962271566035
1,Rice,0,13,Clay Soil,6.5,58.71,68.02,31.02,Low,180.08,51.87,145.44,0.619,0.607,0.36467197553422026
1,Rice,0,14,Clay Soil,6.1,38.2,79.05,34.18,Medium,153.99,32.45,106.96,0.642,0.685,0.3275082167486967
1,Rice,1,0,Sandy Soil,6.13,35.6,65.69,31.61,Medium,137.12,52.2,126.15,0.568,0.679,0.4537712470759027
1,Rice,1,1,Loamy Soil,6.6,54.38,78.64,37.62,Low,100.52,20.19,231.32,0.682,0.678,0.39871688796655763
1,Rice,1,2,Loamy Soil,6.99,48.52,67.97,31.85,Low,121.43,67.99,228.43,0.593,0.664,0.6524247332595274
1,Rice,1,3,Sandy Soil,6.96,35.15,72.35,27.14,Low,188.54,46.19,249.32,0.547,0.696,0.5451975924478789
1,Rice,1,4,Clay Soil,6.19,44.07,83.97,25.89,Low,163.65,44.15,249.63,0.614,0.642,0.4257696298664708
1,Rice,1,5,Loamy Soil,6.75,34.71,92.34,30.28,Medium,107.16,47.24,186.59,0.665,0.674,0.6465648768921555
1,Rice,1,6,Clay Soil,6.8,34.84,72.14,29.63,High,89.41,33.3,251.38,0.621,0.588,0.47742236995134646
1,Rice,1,7,Clay Soil,6.15,46.84,72.1,30.28,Medium,152.33,22.86,221.47,0.62,0.613,0.5067528204687923
1,Rice,1,8,Sandy Soil,7.05,51.18,70.61,27.12,Low,170.55,47.73,431.16,0.588,0.616,0.5755251813786543
1,Rice,1,9,Loamy Soil,6.37,54.11,78.31,32.96,High,119.09,36.45,170.88,0.72,0.517,0.44556172754748175
1,Rice,1,10,Sandy Soil,6.64,39.34,65.82,24.63,Medium,193.56,40.96,135.34,0.544,0.608,0.5540922589709867
1,Rice,1,11,Loamy Soil,6.52,37.18,70.5,26.19,Low,235.76,49.51,78.49,0.54,0.679,0.4899006422577697
1,Rice,1,12,Loamy Soil,5.83,51.06,66.86,28.67,Low,184.63,22.0,179.93,0.58,0.628,0.5375698018345672
1,Rice,1,13,Clay Soil,6.0,56.01,68.18,25.16,High,234.89,55.49,108.84,0.647,0.449,0.5459361310081194
1,Rice,1,14,Clay Soil,7.25,10.0,60.16,29.29,Low,109.02,36.21,125.13,0.433,0.838,0.4708306250206723
